names,scores,logfoldchanges,pvals,pvals_adj,rank_score
TNKS,15.114781,2.461297,1.2939917471263114e-51,9.519109213446489e-50,15.114781
SCFD1,15.110225,1.7670392,1.386660878803018e-51,1.0162614260830506e-49,15.110225
PITPNC1,15.077313,1.9645066,2.2837586542607645e-51,1.6674846771109942e-49,15.077313
COMMD3,15.070034,2.3912833,2.5498025983885023e-51,1.8479458238987487e-49,15.070034
MED13,14.994591,2.0472412,7.965237013169303e-51,5.751430179841215e-49,14.994591
FUT8,14.978957,1.9759985,1.0078557521713373e-50,7.250632852385562e-49,14.978957
DIP2B,14.965666,1.9910301,1.2308515397233995e-50,8.822455285460616e-49,14.965666
GLCCI1,14.948831,2.2439127,1.5850826798716216e-50,1.1320035722528427e-48,14.948831
MAPK14,14.947818,2.4059315,1.6093677928062974e-50,1.1451675988957682e-48,14.947818
ANKRD17,14.930793,1.6710398,2.0778219278908356e-50,1.4731456335133287e-48,14.930793
ANKIB1,14.925033,2.1224482,2.2652401249700786e-50,1.6002245041665884e-48,14.925033
GSPT1,14.923767,1.5072354,2.308635569738321e-50,1.6226169074485335e-48,14.923767
RFX3,14.92345,2.2769413,2.3196131312609843e-50,1.6226169074485335e-48,14.92345
OSBPL8,14.923388,1.35417,2.3218148716557105e-50,1.6226169074485335e-48,14.923388
PPP3CB,14.91845,1.9928147,2.5001184870585886e-50,1.7410077777495537e-48,14.91845
BRAF,14.913957,2.2142515,2.6742419759331112e-50,1.8491013068925485e-48,14.913957
TBC1D15,14.913957,2.0137978,2.6742419759331112e-50,1.8491013068925485e-48,14.913957
UBE2H,14.905729,1.9139507,3.0249367684610516e-50,2.084224038212882e-48,14.905729
NEK7,14.886742,1.9592801,4.0188529741606107e-50,2.7593303508201694e-48,14.886742
ZNF644,14.831425,1.5810827,9.176509507401658e-50,6.27852930212712e-48,14.831425
ZNF148,14.753765,1.7178292,2.9096817876926944e-49,1.9769671257489807e-47,14.753765
KLF13,14.701106,1.6203063,6.341504253423579e-49,4.29379083844265e-47,14.701106
APBB1IP,14.691993,1.111839,7.254886220228176e-49,4.89529701922155e-47,14.691993
TM9SF3,14.688511,1.8734597,7.637325821636103e-49,5.135642325696744e-47,14.688511
AGFG1,14.676739,2.244969,9.085592984124466e-49,6.067811724005035e-47,14.676739
SOS1,14.657561,2.1467583,1.2052398663336146e-48,8.021814185175567e-47,14.657561
KAT6A,14.646422,1.5376086,1.4199842093777878e-48,9.41906813867951e-47,14.646422
PRKCQ,14.640599,1.428871,1.5469831658705787e-48,1.0226813037079556e-46,14.640599
TMEM238,14.633321,3.1710436,1.721739986358882e-48,1.1343773755242628e-46,14.633321
VTI1A,14.621042,1.7092608,2.0621902736039175e-48,1.3541254789893106e-46,14.621042
CCDC88C,14.6149025,1.3923721,2.2567574068260714e-48,1.4769307336713233e-46,14.6149025
NAP1L4,14.580662,1.1607747,3.7288277882774487e-48,2.4321900720337706e-46,14.580662
EPB41,14.566611,1.26394,4.5805550297141906e-48,2.9778173030381157e-46,14.566611
EIF4G3,14.561484,2.277536,4.9373735859286094e-48,3.1991565009751997e-46,14.561484
VPS54,14.55446,2.9805105,5.471687718775521e-48,3.5285641986406314e-46,14.55446
MAP4K4,14.554333,1.6338048,5.481825001976451e-48,3.5285641986406314e-46,14.554333
MAN2A1,14.540472,1.7571256,6.712841162546151e-48,4.292708361722323e-46,14.540472
ADNP,14.518383,2.188428,9.267065227174747e-48,5.903924231027602e-46,14.518383
SLMAP,14.518193,1.7122098,9.2927670848145e-48,5.903924231027602e-46,14.518193
KHDRBS1,14.513889,1.1399305,9.894755530868363e-48,6.266038065632108e-46,14.513889
ASH1L,14.510725,1.5399361,1.0362011976170681e-47,6.540769366119609e-46,14.510725
CD247,14.510471,1.0817612,1.0400327725058648e-47,6.543846074725004e-46,14.510471
SEMA4D,14.498889,1.6167727,1.231265345994618e-47,7.722243682827783e-46,14.498889
LARP4B,14.488003,1.9489384,1.4427700918229318e-47,9.019848292904514e-46,14.488003
PKN2,14.450661,1.8965648,2.482926487514233e-47,1.5473218314547295e-45,14.450661
CARD11,14.436104,1.7465065,3.066970745604782e-47,1.899192517404885e-45,14.436104
ARPC1A,14.427116,3.6228445,3.493871596287202e-47,2.1567217475125544e-45,14.427116
CAMKMT,14.410217,2.0581808,4.463045065051367e-47,2.729152057278911e-45,14.410217
THADA,14.403002,2.105136,4.954394366627765e-47,3.020174111095704e-45,14.403002
UBE3C,14.395217,2.1399899,5.545052128703328e-47,3.3697385110082835e-45,14.395217
ZCCHC7,14.361546,1.6648297,9.019272790212713e-47,5.4471953691013077e-45,14.361546
SLC4A7,14.356293,1.6572237,9.729443156845016e-47,5.858022882865946e-45,14.356293
KMT2C,14.352875,1.5696269,1.0221087592599852e-46,6.135160797913923e-45,14.352875
MYCBP2,14.336862,1.27711,1.2874654448677084e-46,7.704319212590618e-45,14.336862
CEMIP2,14.315406,1.7728959,1.7533695677357494e-46,1.0460346250443031e-44,14.315406
COMMD7,14.307304,2.352447,1.970015514348644e-46,1.171710139354841e-44,14.307304
CTDNEP1,14.297241,1.5238098,2.276565159660058e-46,1.3499341528553942e-44,14.297241
ZFP91,14.295912,2.5512068,2.3204516893342532e-46,1.3718005636523466e-44,14.295912
WTAP,14.2952795,1.2213584,2.34164495135039e-46,1.3801598918079647e-44,14.2952795
SMARCC1,14.291735,1.3933103,2.4639366234459815e-46,1.4478772326603894e-44,14.291735
