names,scores,logfoldchanges,pvals,pvals_adj,rank_score
CDC34,7.257131,1.9005402,3.953864360850728e-13,4.599834590554521e-12,7.257131
MRE11,7.25363,1.206549,4.057469423583192e-13,4.714760194814484e-12,7.25363
BTBD6,7.2483788,2.5600853,4.217894183307333e-13,4.895359037897859e-12,7.2483788
TRIM37,7.2286673,1.3229271,4.877567330842495e-13,5.634252510621367e-12,7.2286673
GPATCH2,7.214207,1.075215,5.424915372195433e-13,6.259124056787749e-12,7.214207
TENT4A,7.2123804,2.2733319,5.498207262391605e-13,6.336214352796167e-12,7.2123804
LRRC37B,7.20477,1.6843092,5.814196367669753e-13,6.688547590979525e-12,7.20477
KIF21B,7.1842213,1.465757,6.75913957556495e-13,7.752804408830887e-12,7.1842213
UPF1,7.18346,1.8159685,6.796889979737299e-13,7.786975592710743e-12,7.18346
AKAP8L,7.1781325,1.0050691,7.067000102147057e-13,8.086962456070972e-12,7.1781325
DEAF1,7.1645856,1.6300815,7.802217261377144e-13,8.912655421519438e-12,7.1645856
CWF19L1,7.1613894,1.0150877,7.986355968677597e-13,9.117678739503105e-12,7.1613894
CSE1L,7.161009,1.122127,8.008559379408158e-13,9.137696206195851e-12,7.161009
SEC24A,7.159639,1.588138,8.088994480239848e-13,9.224093472571873e-12,7.159639
TIAM1,7.148832,1.0507313,8.751960302666651e-13,9.94531702686301e-12,7.148832
RBM14,7.144113,1.3075614,9.057885373398801e-13,1.0269102027037528e-11,7.144113
KDM2B,7.1365023,1.0259233,9.573565409707787e-13,1.0841176385252428e-11,7.1365023
IMMP2L,7.1344476,1.5482242,9.717669665608335e-13,1.0997722214222218e-11,7.1344476
ADAM19,7.132697,1.0581449,9.842102558384902e-13,1.1113113840881463e-11,7.132697
TTLL5,7.1322403,1.4255764,9.874819645180182e-13,1.1143625767986494e-11,7.1322403
ZCCHC2,7.1200633,1.3757322,1.0787744542628781e-12,1.216683488242997e-11,7.1200633
SLC30A6,7.114127,1.4582506,1.1262334967164189e-12,1.268747096358485e-11,7.114127
NAA25,7.111996,1.0227742,1.1437649906587267e-12,1.2862754791499981e-11,7.111996
TMEM267,7.1074295,1.6004515,1.182239134332376e-12,1.328016956407344e-11,7.1074295
MIB1,7.0973077,1.5001161,1.2721076543029873e-12,1.426510176469963e-11,7.0973077
BCR,7.0965466,1.5163852,1.2791293681493036e-12,1.4335626274882917e-11,7.0965466
TUBA1C,7.0928936,1.0186996,1.3133664933100315e-12,1.471090757933068e-11,7.0928936
PPFIA1,7.088936,1.298504,1.3514716066141404e-12,1.5103139005268702e-11,7.088936
USF3,7.086348,1.0963318,1.3769708065368966e-12,1.5379317775293375e-11,7.086348
NCAPG2,7.0837607,1.601069,1.4029418924441897e-12,1.5660448916912665e-11,7.0837607
MRPS17,7.080564,1.8395982,1.435688070362949e-12,1.6016843877344464e-11,7.080564
TRIM24,7.0705943,1.4700965,1.542716864907192e-12,1.7161957710349023e-11,7.0705943
RAPGEF2,7.069453,1.561578,1.5554606679027824e-12,1.729389451677366e-11,7.069453
DTD1,7.0657997,1.1876899,1.5969388249987318e-12,1.773490291008807e-11,7.0657997
SELENOO,7.057884,1.748056,1.690565960199976e-12,1.8764035569593382e-11,7.057884
CNOT6,7.049817,1.5234963,1.7915309272185397e-12,1.9839658847658395e-11,7.049817
ELK4,7.03627,1.0659754,1.9745391094877516e-12,2.176738750942491e-11,7.03627
ZNF410,7.0328455,1.0706984,2.023635828714512e-12,2.228390877675046e-11,7.0328455
ZDHHC21,7.0315514,1.6684219,2.042493439785273e-12,2.2466279724405973e-11,7.0315514
MAPKAPK5,7.028812,1.0529118,2.0829980020326727e-12,2.289893533919963e-11,7.028812
ANKRD13A,7.0213532,1.0485771,2.1972943828964765e-12,2.411478210012241e-11,7.0213532
FBXL3,7.000957,1.0226165,2.542203739486474e-12,2.7822059717153985e-11,7.000957
BARD1,6.9999676,1.2555101,2.560220891680053e-12,2.7987934306366077e-11,6.9999676
HIRA,6.980408,3.0196269,2.9432398004313745e-12,3.206754811516767e-11,6.980408
MTFR1,6.9778204,1.7836988,2.997945272823635e-12,3.2627248664412066e-11,6.9778204
SUCO,6.9691443,1.0032152,3.1887455867504063e-12,3.4665207578628866e-11,6.9691443
FANCI,6.963436,1.2098466,3.3207136633380365e-12,3.6059780779244564e-11,6.963436
LIMD1,6.9600115,1.5316584,3.402449574505187e-12,3.692686260339296e-11,6.9600115
GPR132,6.952934,1.4569778,3.577671061336719e-12,3.878552206550522e-11,6.952934
E2F3,6.949737,1.1617332,3.6596748670221805e-12,3.963061305915331e-11,6.949737
MTHFD1L,6.942888,2.4734888,3.841652185349253e-12,4.150935944942804e-11,6.942888
AHCYL2,6.9294167,1.8367473,4.225793430187993e-12,4.55343203975323e-11,6.9294167
AUH,6.9292645,1.1819587,4.230342279157469e-12,4.555824860679876e-11,6.9292645
EXOSC3,6.923861,1.0548873,4.3949736877349204e-12,4.722726255991045e-11,6.923861
TG,6.9148045,4.0343146,4.685097987519263e-12,5.02620599889128e-11,6.9148045
RTTN,6.90902,1.5024122,4.880125539277372e-12,5.223976835480285e-11,6.90902
CPEB4,6.9004965,2.0037537,5.1821188136514215e-12,5.5411858440180886e-11,6.9004965
METTL15,6.895169,1.0477284,5.380087944844107e-12,5.7465917524404744e-11,6.895169
FLNB,6.8920484,1.2199569,5.49946399805314e-12,5.867694193778836e-11,6.8920484
RCC1L,6.8883953,1.2750643,5.642522784644707e-12,6.017050999996056e-11,6.8883953
TYW1B,6.8877106,1.7890127,5.66974945568841e-12,6.042791794602986e-11,6.8877106
TDRD3,6.8828397,1.1367329,5.867109734171251e-12,6.249733439208657e-11,6.8828397
WDR44,6.8785777,1.4994438,6.045311976453587e-12,6.436053577543187e-11,6.8785777
CD38,6.877512,1.0851562,6.0906849497734645e-12,6.48083322986227e-11,6.877512
TBC1D23,6.875533,1.0238453,6.175836218746034e-12,6.567867561327304e-11,6.875533
SRGAP2C,6.8751526,1.3435571,6.1923447056516806e-12,6.578215425638283e-11,6.8751526
SGPP1,6.875077,1.6570073,6.195651589049139e-12,6.578215425638283e-11,6.875077
HS3ST3B1,6.87188,1.4643232,6.3361145461151094e-12,6.71278231934924e-11,6.87188
SIMC1,6.871728,1.2354006,6.342880538026019e-12,6.716314197407637e-11,6.871728
YBX3,6.870206,2.4656625,6.410931094668016e-12,6.781032414079121e-11,6.870206
TMEM203,6.8637366,1.5217165,6.708216157861671e-12,7.080171185384962e-11,6.8637366
PRMT3,6.8534627,1.1635674,7.208357267573135e-12,7.575356337909296e-11,6.8534627
ENTPD1-AS1,6.849353,1.6628025,7.418488232437141e-12,7.787820693794527e-11,6.849353
GIPC1,6.8395348,1.213658,7.945065618616353e-12,8.327211784953658e-11,6.8395348
EEFSEC,6.8349686,1.3140258,8.202299541685682e-12,8.592216136600933e-11,6.8349686
LINC02245,6.8277383,4.0765085,8.626365223888831e-12,9.02677618722228e-11,6.8277383
KLHDC4,6.8255315,1.0744833,8.760044086543169e-12,9.161760699384112e-11,6.8255315
LDB1,6.823933,2.2042024,8.858110951710169e-12,9.259375806787638e-11,6.823933
PPTC7,6.814572,1.2424675,9.454477192521785e-12,9.861684952199695e-11,6.814572
WDPCP,6.803689,1.6115576,1.0197366694516138e-11,1.0619588689637668e-10,6.803689
CEBPB,6.797372,1.163839,1.0654473188455377e-11,1.1077934715818004e-10,6.797372
MTMR9,6.791816,1.9586216,1.107305421375762e-11,1.1507037963611743e-10,6.791816
CCDC6,6.790294,1.2724811,1.1190517878310356e-11,1.1622932794202602e-10,6.790294
MMS22L,6.776062,1.2016311,1.2349552966435555e-11,1.279957904911075e-10,6.776062
