ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0032465	regulation of cytokinesis	8/350	93/18614	0.000366301640299995	0.0153176624949839	0.0143464223948047	PKP4/ECT2/KIF20A/PRKCE/CIT/PRC1/TEX14/BRCA2	8
GO:0046605	regulation of centrosome cycle	6/350	54/18614	0.000511127554244884	0.0211163419699483	0.0197774276220817	GEN1/PLK4/CEP295/STIL/WDR62/ALMS1	6
GO:0051383	kinetochore organization	4/350	22/18614	0.000687464000227276	0.0280632625807063	0.0262838679786143	NUF2/NDC80/DLGAP5/KNTC1	4
GO:0007127	meiosis I	9/350	129/18614	0.000751482810270283	0.0303157006637271	0.0283934867385094	CCNE1/FANCM/BRIP1/BCL2L11/RMI1/NDC80/CENPS/MRE11/BRCA2	9
GO:0007052	mitotic spindle organization	9/350	130/18614	0.000794302543747569	0.0316705049129118	0.0296623875272195	KIF15/NUF2/STIL/TTK/NDC80/WDR62/DLGAP5/PRC1/KIF11	9
GO:0046599	regulation of centriole replication	4/350	23/18614	0.000819949821835349	0.0323173326330277	0.030268202134539	PLK4/CEP295/STIL/ALMS1	4
GO:0031570	DNA integrity checkpoint signaling	9/350	132/18614	0.000885907089913764	0.0345201751285715	0.0323313699919485	DNA2/CDC45/ORC1/BRIP1/FOXN3/GTSE1/MRE11/BRCA2/PARP9	9
GO:0033044	regulation of chromosome organization	13/350	250/18614	0.000944480254431346	0.0363890201398324	0.0340817179925492	GEN1/HDAC8/BUB1B/BUB1/NUF2/MNAT1/TTK/NDC80/DLGAP5/TEX14/KNTC1/MRE11/NCAPG2	13
GO:1902850	microtubule cytoskeleton organization involved in mitosis	10/350	161/18614	0.000959919624157626	0.0365729376804056	0.0342539739567827	KIF15/NUF2/STIL/TTK/NDC80/WDR62/DYNLT1/DLGAP5/PRC1/KIF11	10
GO:0044771	meiotic cell cycle phase transition	3/350	11/18614	0.000972158688972302	0.0366322213679783	0.0343094986703816	TTK/NDC80/CDC25C	3
GO:0000086	G2/M transition of mitotic cell cycle	9/350	136/18614	0.00109489314170438	0.0408085715533078	0.038221040907781	MASTL/CDC7/MELK/ORC1/FOXM1/FOXN3/CIT/MRE11/CDC25C	9
GO:0061640	cytoskeleton-dependent cytokinesis	8/350	113/18614	0.00133183713138326	0.0491061239087441	0.045992474112624	EXOC6/SNX9/RHOC/ANLN/ECT2/KIF20A/ANK3/CIT	8
GO:0007051	spindle organization	11/350	198/18614	0.00135409179484209	0.0493955400480162	0.0462635393736082	KIF15/NUF2/STIL/HAUS7/TTK/NDC80/ASPM/WDR62/DLGAP5/PRC1/KIF11	11
GO:0033262	regulation of nuclear cell cycle DNA replication	3/350	13/18614	0.00163863876945576	0.0585301285464979	0.0548189351492272	CDC7/BCL6/WIZ	3
GO:0098792	xenophagy	3/350	13/18614	0.00163863876945576	0.0585301285464979	0.0548189351492272	ATG16L1/NOD1/TBK1	3
GO:0010824	regulation of centrosome duplication	5/350	47/18614	0.00183315378403362	0.0648029311902192	0.0606940010318672	GEN1/PLK4/CEP295/STIL/ALMS1	5
GO:0001833	inner cell mass cell proliferation	3/350	14/18614	0.00205664415432338	0.071234674799746	0.0667179299823564	PALB2/NCAPG2/BRCA2	3
GO:1902969	mitotic DNA replication	3/350	14/18614	0.00205664415432338	0.071234674799746	0.0667179299823564	CDC45/BCL6/BRCA2	3
GO:0031396	regulation of protein ubiquitination	11/350	213/18614	0.00240870450926876	0.0825944776228258	0.0773574469239894	MASTL/MTA1/HDAC8/BUB1B/FANCM/GLMN/TGFBR1/PRKCE/MTBP/CENPS/FANCI	11
GO:0045216	cell-cell junction organization	11/350	214/18614	0.00249770916863264	0.082793012935152	0.0775433937975315	TJP2/PARD6A/PKP4/RDX/RHOC/TGFBR1/CTNNA1/ECT2/SRF/AFDN/NF2	11
GO:0007135	meiosis II	3/350	15/18614	0.00253521911874919	0.082793012935152	0.0775433937975315	MASTL/BUB1B/BUB1	3
GO:0048070	regulation of developmental pigmentation	3/350	15/18614	0.00253521911874919	0.082793012935152	0.0775433937975315	VPS33A/BCL2L11/ZEB2	3
