ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0002690	positive regulation of leukocyte chemotaxis	8/511	96/18614	0.00490458532827266	0.104280826146369	0.0890446519248299	AIF1/GAS6/VEGFA/CSF1R/CXCL8/TRPV4/MDK/C5AR1	8
GO:0007088	regulation of mitotic nuclear division	9/511	117/18614	0.00496908812525541	0.104422728677858	0.0891658214819835	TGFA/AURKA/ZWINT/BIRC5/PDXP/IL1B/CDC20/PKMYT1/CDCA2	9
GO:0071887	leukocyte apoptotic process	9/511	117/18614	0.00496908812525541	0.104422728677858	0.0891658214819835	FASLG/CD274/HCAR2/GAS6/BCL2/PDCD1/BCL3/PIP/NOD2	9
GO:0050769	positive regulation of neurogenesis	14/511	232/18614	0.00502081275541435	0.104422728677858	0.0891658214819835	SMARCD3/ITPKA/FGF2/VEGFA/CYFIP1/IL1B/BMPR2/ASPM/LRP8/PLXND1/ID2/PLXNB2/MDK/MAP6	14
GO:0006956	complement activation	6/511	58/18614	0.00502819410206933	0.104422728677858	0.0891658214819835	C1QA/VSIG4/C1QB/IL1B/FCN1/C1QC	6
GO:0048008	platelet-derived growth factor receptor signaling pathway	6/511	58/18614	0.00502819410206933	0.104422728677858	0.0891658214819835	PDGFD/VEGFA/LRP1/NDRG4/PTPN12/APOD	6
GO:0045766	positive regulation of angiogenesis	12/511	185/18614	0.00517529754676545	0.104824617631502	0.0895089915863264	SLC39A12/DLL1/ADM/FGF2/VEGFA/BMPER/RAPGEF3/CXCL8/IL1B/ANXA3/MDK/C5AR1	12
GO:1904018	positive regulation of vasculature development	12/511	185/18614	0.00517529754676545	0.104824617631502	0.0895089915863264	SLC39A12/DLL1/ADM/FGF2/VEGFA/BMPER/RAPGEF3/CXCL8/IL1B/ANXA3/MDK/C5AR1	12
GO:0002726	positive regulation of T cell cytokine production	4/511	26/18614	0.00519397266137718	0.104824617631502	0.0895089915863264	IL18R1/NLRP3/TBX21/IL1B	4
GO:0032816	positive regulation of natural killer cell activation	4/511	26/18614	0.00519397266137718	0.104824617631502	0.0895089915863264	GAS6/TYROBP/FCGR3A/TOX	4
GO:0086013	membrane repolarization during cardiac muscle cell action potential	4/511	26/18614	0.00519397266137718	0.104824617631502	0.0895089915863264	KCNE1/KCNE3/KCNE5/KCNH2	4
GO:1905523	positive regulation of macrophage migration	4/511	26/18614	0.00519397266137718	0.104824617631502	0.0895089915863264	CSF1R/TRPV4/MDK/C5AR1	4
GO:0045137	development of primary sexual characteristics	14/511	233/18614	0.00521188468402988	0.104824617631502	0.0895089915863264	SDC1/RXFP2/VEGFA/BCL2/VGF/DACH1/FOXC1/KCNE1/ASPM/PTPRN/FSHR/BIK/RAB13/ADAM29	14
GO:0030510	regulation of BMP signaling pathway	9/511	118/18614	0.00525248317675809	0.105167432216255	0.0898017185094067	GREM2/FZD1/BMPER/CHRDL2/BMPR2/HTRA3/SKOR1/HTRA1/PPARG	9
GO:0043410	positive regulation of MAPK cascade	24/511	495/18614	0.00532971341421126	0.106237367832381	0.0907153288828627	PDGFD/CAVIN3/GAS6/FGF2/VEGFA/FLT3/SPRY2/TGFA/NDRG4/CSF1R/BMPER/HTR2B/ACTA2/CCL25/ROR2/FZD8/TRPV4/IL1B/FSHR/NOD2/BCAR3/ERN1/LILRA5/C5AR1	24
GO:2000116	regulation of cysteine-type endopeptidase activity	14/511	234/18614	0.00540877558830528	0.106520931897589	0.0909574622108961	FASLG/DHCR24/MEFV/GAS6/VEGFA/NDUFA13/BBC3/NLRP3/BIRC5/PLAUR/CST7/NLRP12/MMP9/PPARG	14
GO:0031102	neuron projection regeneration	6/511	59/18614	0.00547068593232741	0.106520931897589	0.0909574622108961	GAP43/ADM/PRRX1/BCL2/APOD/RTN4R	6
GO:1903706	regulation of hemopoiesis	21/511	415/18614	0.00553073442662111	0.106520931897589	0.0909574622108961	SMARCD3/DLL1/TNFSF9/LRRC17/VNN1/GAS6/UBASH3B/TYROBP/HSPA1A/HLA-G/NLRP3/TRIB1/PRDM1/TBX21/TESC/TOX/ROR2/ID2/MYB/MDK/C1QC	21
GO:0021782	glial cell development	9/511	119/18614	0.00554823776040038	0.106520931897589	0.0909574622108961	DLL1/LRP1/C1QA/VIM/ROR2/IL1B/ROR1/MDK/C5AR1	9
GO:0045446	endothelial cell differentiation	9/511	119/18614	0.00554823776040038	0.106520931897589	0.0909574622108961	DLL1/FZD1/BMP6/VEGFA/AFDN/TNFRSF1A/RAPGEF3/IL1B/BMPR2	9
GO:0002275	myeloid cell activation involved in immune response	8/511	98/18614	0.00555203240269295	0.106520931897589	0.0909574622108961	TYROBP/CLNK/PTGDS/FCER1G/ADORA2B/PRAM1/SUCNR1/ANXA3	8
GO:0014912	negative regulation of smooth muscle cell migration	5/511	42/18614	0.00562950945090293	0.106520931897589	0.0909574622108961	AIF1/BMPR1A/LRP1/NDRG4/TRIB1	5
GO:0032733	positive regulation of interleukin-10 production	5/511	42/18614	0.00562950945090293	0.106520931897589	0.0909574622108961	CD274/BCL3/NOD2/RBM47/LILRA5	5
GO:0042119	neutrophil activation	5/511	42/18614	0.00562950945090293	0.106520931897589	0.0909574622108961	TYROBP/FCER1G/CXCL8/PRAM1/ANXA3	5
GO:0086091	regulation of heart rate by cardiac conduction	5/511	42/18614	0.00562950945090293	0.106520931897589	0.0909574622108961	DSC2/KCNE1/KCNE3/KCNE5/KCNH2	5
GO:0071772	response to BMP	12/511	187/18614	0.00563022170836082	0.106520931897589	0.0909574622108961	GREM2/BMPR1A/FZD1/BMP6/BMPER/CHRDL2/BMPR2/HTRA3/GDF7/SKOR1/HTRA1/PPARG	12
GO:0071773	cellular response to BMP stimulus	12/511	187/18614	0.00563022170836082	0.106520931897589	0.0909574622108961	GREM2/BMPR1A/FZD1/BMP6/BMPER/CHRDL2/BMPR2/HTRA3/GDF7/SKOR1/HTRA1/PPARG	12
GO:0001508	action potential	10/511	142/18614	0.00586843056792343	0.109642610825036	0.0936230415296238	DMD/DSC2/YWHAH/KCNE1/CNR1/KCNE3/KCNE5/NTSR1/KCNH2/GNA15	10
GO:0051384	response to glucocorticoid	10/511	142/18614	0.00586843056792343	0.109642610825036	0.0936230415296238	ADM/AIF1/BMP6/SDC1/FLT3/DDIT4/BCL2/PTGDS/ANXA3/MDK	10
GO:1903670	regulation of sprouting angiogenesis	6/511	60/18614	0.00594099110576907	0.109642610825036	0.0936230415296238	SLC39A12/DLL1/FGF2/VEGFA/BMPER/CEMIP2	6
GO:0007205	protein kinase C-activating G protein-coupled receptor signaling pathway	4/511	27/18614	0.00596711185453166	0.109642610825036	0.0936230415296238	GAP43/DGKG/HTR2B/DGKI	4
GO:0048499	synaptic vesicle membrane organization	4/511	27/18614	0.00596711185453166	0.109642610825036	0.0936230415296238	SYT1/CPLX3/STX11/SNAP25	4
GO:0051984	positive regulation of chromosome segregation	4/511	27/18614	0.00596711185453166	0.109642610825036	0.0936230415296238	BIRC5/NCAPH/NCAPG/CDC6	4
GO:0090200	positive regulation of release of cytochrome c from mitochondria	4/511	27/18614	0.00596711185453166	0.109642610825036	0.0936230415296238	BBC3/PLAUR/BIK/MMP9	4
GO:0098813	nuclear chromosome segregation	18/511	339/18614	0.00609480432552566	0.111529923415869	0.0952346042582137	SMARCD3/HSPA1A/UBE2C/EME1/CHMP4A/SYCE3/AURKA/ZWINT/BIRC5/NCAPH/TPX2/ASPM/NCAPG/CDC20/KLHDC8B/CDC6/KIFC1/CCNE1	18
GO:0010977	negative regulation of neuron projection development	10/511	143/18614	0.00615972013658593	0.112137353949803	0.0957532848485148	SEMA6B/DAB1/SEMA3G/MCF2/EFNB2/VIM/TRPV4/RTN4R/GFI1/DCC	10
GO:0002367	cytokine production involved in immune response	9/511	121/18614	0.00617822823553228	0.112137353949803	0.0957532848485148	IL18R1/KIR2DL4/HLA-G/CLNK/NLRP3/TBX21/IL1B/NOD2/TREM1	9
GO:0031960	response to corticosteroid	11/511	166/18614	0.00622165622576668	0.112156213329369	0.0957693887378974	ADM/AIF1/BMP6/SDC1/FLT3/DDIT4/BCL2/PTGDS/ANXA3/SLC12A3/MDK	11
GO:0030501	positive regulation of bone mineralization	5/511	43/18614	0.00622950524203441	0.112156213329369	0.0957693887378974	BMPR1A/BMP6/BMPR2/RXRA/FAM20C	5
GO:0030512	negative regulation of transforming growth factor beta receptor signaling pathway	8/511	100/18614	0.00626266815439198	0.112300455057671	0.0958925557184855	HSPA1A/SPRED2/SPRED1/SPRY2/PRDM16/HTRA3/HTRA1/PPARG	8
GO:0045216	cell-cell junction organization	13/511	214/18614	0.00636954295894422	0.113760037246744	0.0971388825149305	BMP6/VEGFA/AFDN/CSF1R/PRTN3/RHOC/EFNB2/TRPV4/IL1B/ARL2/CLDN2/RAB13/CLDN23	13
GO:1905517	macrophage migration	6/511	61/18614	0.00644008689940034	0.11456170520248	0.0978234210510716	MCOLN2/CSF1R/ROR2/TRPV4/MDK/C5AR1	6
GO:0072676	lymphocyte migration	9/511	122/18614	0.00651317160447947	0.115402028626987	0.0985409672156418	AIF1/GAS6/MSMP/TBX21/PADI2/CCL25/CH25H/APOD/ADTRP	9
GO:0016064	immunoglobulin mediated immune response	10/511	145/18614	0.00677597615642157	0.117910063830815	0.100682560545815	NECTIN2/C1QA/FCGR3A/EXO1/TBX21/FCER1G/C1QB/BCL3/NOD2/C1QC	10
GO:0000280	nuclear division	22/511	450/18614	0.00678790931735655	0.117910063830815	0.100682560545815	HSPA1A/UBE2C/EME1/CHMP4A/SYCE3/TGFA/AURKA/ZWINT/TDRD9/BIRC5/PDXP/NCAPH/TPX2/IL1B/ASPM/NCAPG/CDC20/KLHDC8B/PKMYT1/KIFC1/CCNE1/CDCA2	22
GO:0051250	negative regulation of lymphocyte activation	11/511	168/18614	0.00679014223509467	0.117910063830815	0.100682560545815	CD274/TYROBP/LGALS9C/HLA-G/VSIG4/CLNK/TBX21/LRRC32/ID2/SAMSN1/MDK	11
GO:0010758	regulation of macrophage chemotaxis	4/511	28/18614	0.00681316830198214	0.117910063830815	0.100682560545815	CSF1R/TRPV4/MDK/C5AR1	4
GO:0032703	negative regulation of interleukin-2 production	4/511	28/18614	0.00681316830198214	0.117910063830815	0.100682560545815	VSIG4/TBX21/NOD2/HOMER3	4
GO:1900746	regulation of vascular endothelial growth factor signaling pathway	4/511	28/18614	0.00681316830198214	0.117910063830815	0.100682560545815	CD63/DLL1/VEGFA/SPRY2	4
GO:0002824	positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	9/511	123/18614	0.00686188902391258	0.118294727767451	0.10101102233128	NECTIN2/CD274/IL18R1/HLA-G/NLRP3/TBX21/SLC11A1/IL1B/NOD2	9
GO:0061564	axon development	23/511	479/18614	0.00704770546402653	0.121030788064917	0.103347324658721	SEMA6B/GAP43/DAB1/VEGFA/SEMA3G/BCL2/CSF1R/CYFIP1/MCF2/EFNB2/UNC5A/S100A6/APOD/LRRC4C/BMPR2/NEO1/GDF7/CNR1/PLXND1/RTN4R/PLXNB2/DCC/MAP6	23
GO:0010631	epithelial cell migration	19/511	371/18614	0.0071530698117827	0.122369565937202	0.104490497512712	FAT2/VASH1/DAAM2/FGF2/VEGFA/ENPP2/SPRED1/BMPER/TESK1/EFNB2/PKN3/ADTRP/BMPR2/PLXND1/DOCK5/ANXA3/RAB13/MMP9/PPARG	19
GO:0052547	regulation of peptidase activity	21/511	425/18614	0.00718521523747211	0.122450328379057	0.104559459984427	FASLG/RCN3/DHCR24/MEFV/GAS6/VEGFA/SPINK8/LRP1/NDUFA13/TIMP1/BBC3/NLRP3/SERPINA1/BIRC5/SPINK4/PLAUR/ITIH6/CST7/NLRP12/MMP9/PPARG	21
