"group","gene","scores","logfoldchanges","pvals","pvals_adj"
"SKPP","LINC01929",8.0620365,3.9244266,7.50335282090959e-16,1.84084262787812e-15
"SKPP","BMP6",8.038869,1.683465,9.06711839845024e-16,2.21948177158962e-15
"SKPP","PKN3",8.03499,1.6992569,9.3586364193003e-16,2.29026760196184e-15
"SKPP","NDFIP2",8.015531,2.2459846,1.09662255229893e-15,2.67865561145742e-15
"SKPP","CCNE1",7.9975233,1.5921981,1.2694660850313e-15,3.09852966844113e-15
"SKPP","FMO3",7.9569836,2.8293107,1.76284189260754e-15,4.28939196152007e-15
"SKPP","BIRC5",7.956499,3.1235995,1.76975126994216e-15,4.30513337272851e-15
"SKPP","RTN4R",7.8930893,2.333643,2.94796054887264e-15,7.13490315650461e-15
"SKPP","CDC6",7.8388467,3.1792438,4.54703625937793e-15,1.09684918051661e-14
"SKPP","SRXN1",7.838206,2.187652,4.57029040575071e-15,1.1023227247594e-14
"SKPP","ALDH1A2",7.8188634,2.8252606,5.33023500033006e-15,1.2830857237847e-14
"SKPP","B4GALT2",7.8085294,1.6766865,5.78590171314492e-15,1.39106185923111e-14
"SKPP","SPRED1",7.774075,1.9027768,7.60007240161739e-15,1.82163420816817e-14
"SKPP","PKMYT1",7.707949,3.835823,1.27855452283779e-14,3.04846532263797e-14
"SKPP","STAB1",7.6963687,2.5618656,1.39987716585001e-14,3.33448525640328e-14
"SKPP","LINC02520",7.6863103,1.7383225,1.51439221421374e-14,3.60374885658939e-14
"SKPP","SLC12A3",7.6180916,1.9244312,2.57453465865653e-14,6.08950733719219e-14
"SKPP","QPCT",7.58687,1.5083462,3.27725575329447e-14,7.73201598510565e-14
"SKPP","BMP8A",7.5297847,1.7363217,5.08241046910555e-14,1.19347903587492e-13
"SKPP","IL1B",7.5012994,1.770372,6.3188171548695e-14,1.48132998785775e-13
"SKPP","FRY-AS1",7.495417,1.835392,6.60879324741148e-14,1.54856743222785e-13
"SKPP","PARD6G",7.465496,2.0983727,8.29864803823422e-14,1.93896053507065e-13
"SKPP","DOCK9-DT",7.444633,1.9612975,9.72142239020059e-14,2.2668211647606e-13
"SKPP","KLK15",7.4120684,21.870348,1.24344765680033e-13,2.88838838417246e-13
"SKPP","LINC01970",7.3850436,1.5046026,1.52403248555808e-13,3.52842731630389e-13
"SKPP","HES4",7.3611035,1.761164,1.82396278510576e-13,4.2138493245513e-13
"SKPP","VASH1",7.3433547,1.5856894,2.08305400681981e-13,4.80334678357885e-13
"SKPP","ASPM",7.340701,1.9569637,2.12477577883995e-13,4.89609190300755e-13
"SKPP","RCN3",7.256681,1.6955844,3.96703693214303e-13,9.0770555061009e-13
"SKPP","SLC36A3",7.237987,1.7312297,4.55393551140321e-13,1.04004913733821e-12
"SKPP","LINC01361",7.2341194,2.5778399,4.68559578756953e-13,1.06912008361894e-12
"SKPP","UBE2C",7.229665,2.1582785,4.84187586692434e-13,1.10400637338587e-12
"SKPP","RPRML",7.21228,2.284911,5.50228609490288e-13,1.25298189578796e-12
"SKPP","C22orf23",7.2094235,1.7154437,5.61892617225967e-13,1.27909664191225e-12
"SKPP","ANXA3",7.1508036,1.5777502,8.62714522041501e-13,1.9550200077948e-12
"SKPP","FAM114A1",7.126128,1.660783,1.03231531632346e-12,2.33503018261674e-12
"SKPP","FGF2",7.1142864,2.243636,1.12493259293107e-12,2.54217357413964e-12
"SKPP","GREM2",7.112536,1.8841022,1.13929890055849e-12,2.57374750474816e-12
