"group","gene","scores","logfoldchanges","pvals","pvals_adj","unique_group"
"SKPP","SIRPD",5.009149,1.7186842,5.46711912652324e-07,1.0323322114041e-06,"SKPP_unique_upregulated"
"SKPP","TROAP",5.0022583,1.6873575,5.66626393608561e-07,1.06941987559147e-06,"SKPP_unique_upregulated"
"SKPP","SDC1",4.994811,5.851772,5.88933385795977e-07,1.11077093910898e-06,"SKPP_unique_upregulated"
"SKPP","OTOGL",4.9844756,3.936359,6.21301126948481e-07,1.17023972010086e-06,"SKPP_unique_upregulated"
"SKPP","LPP-AS1",4.9618373,1.6204288,6.98295443804326e-07,1.31298599446171e-06,"SKPP_unique_upregulated"
"SKPP","BAALC",4.9381905,2.43572,7.88509006334291e-07,1.47976831648119e-06,"SKPP_unique_upregulated"
"SKPP","KCTD16",4.9346056,1.8723443,8.03129659721999e-07,1.50662843269486e-06,"SKPP_unique_upregulated"
"SKPP","ALAS2",4.9262266,1.5626801,8.38328295719751e-07,1.57205635751261e-06,"SKPP_unique_upregulated"
"SKPP","CEACAM6",4.8920403,20.495985,9.97959918356951e-07,1.86407786200924e-06,"SKPP_unique_upregulated"
"SKPP","ORM1",4.8920403,20.427326,9.97959918356951e-07,1.86407786200924e-06,"SKPP_unique_upregulated"
"SKPP","PCDHGC3",4.8819194,2.3303008,1.05058229997295e-06,1.96087318255158e-06,"SKPP_unique_upregulated"
"SKPP","LINC00582",4.8710585,1.8614045,1.11002031638585e-06,2.0708244399884e-06,"SKPP_unique_upregulated"
"SKPP","SCGB1B2P",4.8708544,1.7927926,1.11116800267065e-06,2.07276791956713e-06,"SKPP_unique_upregulated"
"SKPP","CASC9",4.828858,2.2597132,1.37318501715417e-06,2.55131830760281e-06,"SKPP_unique_upregulated"
"SKPP","LINC00640",4.778647,1.6014988,1.76478892819483e-06,3.26495128551729e-06,"SKPP_unique_upregulated"
"SKPP","LINC01506",4.774123,1.7519819,1.80491880005065e-06,3.33761586461832e-06,"SKPP_unique_upregulated"
"SKPP","ST7-AS1",4.7449045,3.070953,2.08604803260196e-06,3.84620634146379e-06,"SKPP_unique_upregulated"
"SKPP","SKA3",4.738279,1.7083783,2.15541258804987e-06,3.96961068451388e-06,"SKPP_unique_upregulated"
"SKPP","PADI2",4.736652,1.924919,2.17278081514585e-06,4.00046810225574e-06,"SKPP_unique_upregulated"
"SKPP","CLDN23",4.700052,3.7578018,2.60095653800463e-06,4.77399095166256e-06,"SKPP_unique_upregulated"
"SKPP","C1QC",4.6996927,3.1935186,2.60553167015267e-06,4.78149148659359e-06,"SKPP_unique_upregulated"
"SKPP","MELTF-AS1",4.69645,2.3901794,2.64721400371761e-06,4.85616233474699e-06,"SKPP_unique_upregulated"
"SKPP","FGF22",4.687214,2.2972775,2.76949556192778e-06,5.07619793516325e-06,"SKPP_unique_upregulated"
"SKPP","NEIL3",4.6810226,2.441479,2.85447239575221e-06,5.22754476743839e-06,"SKPP_unique_upregulated"
"SKPP","ABCC11",4.673345,1.5778794,2.96333370994556e-06,5.42335522224231e-06,"SKPP_unique_upregulated"
"SKPP","MEFV",4.6389112,1.5358386,3.50249624530983e-06,6.39216998024834e-06,"SKPP_unique_upregulated"
"SKPP","LINC01888",4.618101,2.0215983,3.87267351536286e-06,7.04803528167973e-06,"SKPP_unique_upregulated"
"SKPP","LINC02363",4.6179605,1.5425599,3.87529881952473e-06,7.05215728638148e-06,"SKPP_unique_upregulated"
"SKPP","FSCN2",4.6178575,1.843427,3.87722775210872e-06,7.05501140536205e-06,"SKPP_unique_upregulated"
"SKPP","NTSR1",4.6027875,2.1592987,4.16873934741131e-06,7.5741774884071e-06,"SKPP_unique_upregulated"
"SKPP","KIR2DL4",4.6026716,2.396261,4.17105695003153e-06,7.57768474591189e-06,"SKPP_unique_upregulated"
"SKPP","MCM10",4.570512,1.7611248,4.8653428963833e-06,8.81446438259684e-06,"SKPP_unique_upregulated"
"SKPP","ENDOU",4.569739,3.0721276,4.8833269033719e-06,8.84458911932445e-06,"SKPP_unique_upregulated"
"SKPP","SNAP25",4.547782,1.7601572,5.42142944433299e-06,9.79742624369301e-06,"SKPP_unique_upregulated"
"SKPP","MARVELD1",4.547762,1.710007,5.42193867575742e-06,9.79744168503289e-06,"SKPP_unique_upregulated"
"SKPP","VEGFA",4.4853373,1.7619396,7.27986532021193e-06,1.3087037628471e-05,"SKPP_unique_upregulated"
"SKPP","VGF",4.482363,2.2035704,7.38210139166642e-06,1.32647346218667e-05,"SKPP_unique_upregulated"
"SKPP","TBX15",4.4576764,2.0729465,8.28529372376065e-06,1.48549228135009e-05,"SKPP_unique_upregulated"
"SKPP","NME8",4.457393,1.6259145,8.29623572677304e-06,1.48718157476635e-05,"SKPP_unique_upregulated"
"SKPP","KIF20A",4.439257,20.165283,9.02699760541379e-06,1.61551389375102e-05,"SKPP_unique_upregulated"
"SKPP","ZNF534",4.427762,1.7635703,9.52158243631747e-06,1.70262565214165e-05,"SKPP_unique_upregulated"
"SKPP","HTR4",4.4205694,2.7506373,9.84412295375305e-06,1.75917623706886e-05,"SKPP_unique_upregulated"
"SKPP","LINC00589",4.420193,1.9690322,9.86127181677634e-06,1.76175812024723e-05,"SKPP_unique_upregulated"
"SKPP","FAM182B",4.418284,1.5803014,9.94876708156154e-06,1.77657852027739e-05,"SKPP_unique_upregulated"
"SKPP","REEP1",4.4128003,1.7071097,1.02042160466496e-05,1.82086539851213e-05,"SKPP_unique_upregulated"
"SKPP","RNASE3",4.3997917,4.706331,1.08354778546977e-05,1.93069232071321e-05,"SKPP_unique_upregulated"
"SKPP","MAP6",4.3982935,3.1371558,1.09105373024693e-05,1.94318188709128e-05,"SKPP_unique_upregulated"
"SKPP","PXT1",4.3758235,1.6012759,1.20974762117626e-05,2.15046706496885e-05,"SKPP_unique_upregulated"
"SKPP","FZD1",4.3519015,2.3122802,1.34962016297491e-05,2.39236953973123e-05,"SKPP_unique_upregulated"
"SKPP","TMEM240",4.342746,1.83018,1.40712810953816e-05,2.4929545357576e-05,"SKPP_unique_upregulated"
"SKPP","TMEM255A",4.330233,1.8439481,1.48951671240484e-05,2.63605526167476e-05,"SKPP_unique_upregulated"
"SKPP","SLC1A3",4.275158,1.7215158,1.91001972434213e-05,3.36168968932602e-05,"SKPP_unique_upregulated"
