Sample,CD8_exhausted_like_Exhaustion_scores,CD8_exhausted_like_Apoptosis_scores,CD8_exhausted_like_TCR_signaling_scores,CD8_exhausted_like_Cytotoxic_scores,CD8_exhausted_like_Activation_effector_scores,CD8_exhausted_like_IFN_response_scores
M13,0.11144986368431516,0.21663695193055732,0.5325136286160307,0.667771596107027,0.36958635608332224,0.060031105631348176
M14,0.15859560462273511,0.2526636273315833,0.51658758730182,0.7428521574927573,0.35479963215817933,0.08406847696440208
M15,0.04222202816478096,0.08177845081806691,0.39406705145265297,0.26278665471381074,0.18509130722083306,0.034284188283986716
M16,0.09902991569229298,0.22092556125362145,0.5099772616836884,0.8075600505418099,0.4373372820740127,0.002203151682005799
M17,0.15416864447892087,0.27354650250845164,0.5348829623798242,0.7065586404885251,0.40046346540905237,0.2494286773063015
M18,0.19341042122514682,0.3398005815175935,0.6531685267360383,0.9175621041553458,0.48966836568952893,0.2980435714476051
M19,0.19239456481752001,0.2662986954801554,0.5939015501901834,0.7779486286458962,0.3333663281493942,0.2343322944316622
M20,0.17202721484087324,0.38784989289082406,0.6109141439101078,1.0465509312602712,0.46042936981075994,0.26254014219425476
M21,0.21447297037268445,0.3064583612226515,0.6450799936128344,0.9640147822980679,0.4269898942055304,0.18951805790520643
M22,0.20853530024375144,0.28046433607201093,0.6981777699740055,0.747634104119537,0.4912717308446833,0.26872973819896223
M23,0.18888565216479003,0.2669039261367608,0.6872698613825045,0.6233113835430617,0.4599550664326205,0.3355076186117151
S01,0.19954023222571704,0.2944638398846267,0.5834869372757717,0.914528823920268,0.47608912259506947,0.07079646305577628
S02,0.15123592656923598,0.25612518296108644,0.6380533749760605,0.6488150568611061,0.5649617693801212,0.1227581171147335
S03,0.13311057630640896,0.26531313782507715,0.5377023017727762,0.7481461004575077,0.39960045733791916,0.024818288811806373
S04,0.2096422010418876,0.3612762022621609,0.6128681485937088,0.9010745269390149,0.5361852577046974,0.11025881983586014
S05,0.18895388385012876,0.3182843704154934,0.5918391932592101,0.6823248224740242,0.46084261599073945,0.3468675705698802
